ID,Mcore,err_Mcore,Tcore,Size
20kms~cloud_89,1.36,0.68,,1540
20kms~cloud_90,6.73,3.37,,2980
20kms~cloud_91,2.28,1.14,,1940
20kms~cloud_92,0.59,0.29,,1030
20kms~cloud_93,2.65,1.32,,1910
20kms~cloud_94,6.39,3.19,,2790
20kms~cloud_95,32.84,16.42,,5270
20kms~cloud_96,1.33,0.67,123.5,1520
20kms~cloud_97,12.27,6.13,,2950
20kms~cloud_98,0.34,0.17,95.0,2540
20kms~cloud_99,0.32,0.16,190.2,3040
20kms~cloud_100,0.86,0.43,84.9,3040
20kms~cloud_101,1.13,0.56,140.7,2960
20kms~cloud_102,1.74,0.87,,1490
20kms~cloud_103,2.84,1.42,,2480
20kms~cloud_104,0.37,0.18,,1110
20kms~cloud_105,1.98,0.99,,1530
20kms~cloud_106,5.45,2.73,,1820
20kms~cloud_107,8.39,4.20,,3170
20kms~cloud_108,4.63,2.31,,2280
20kms~cloud_109,3.34,1.67,,2230
20kms~cloud_110,13.43,6.71,,2220
20kms~cloud_111,2.16,1.08,,2180
20kms~cloud_112,0.47,0.23,93.5,1580
20kms~cloud_113,3.14,1.57,,1060
20kms~cloud_114,6.15,3.08,,1370
20kms~cloud_115,3.90,1.95,,3050
20kms~cloud_116,0.68,0.34,,1520
20kms~cloud_117,1.05,0.53,,1490
20kms~cloud_118,1.84,0.92,,1530
20kms~cloud_119,5.41,2.71,,2710
20kms~cloud_120,7.36,3.68,62.0,3250
20kms~cloud_121,0.58,0.29,,1320
20kms~cloud_122,0.42,0.21,,1040
20kms~cloud_123,2.19,1.09,,2230
20kms~cloud_125,2.07,1.03,,2280
20kms~cloud_126,1.94,0.97,,1680
20kms~cloud_127,2.99,1.50,,2450
20kms~cloud_128,1.03,0.52,,1620
20kms~cloud_129,1.05,0.53,,1490
20kms~cloud_130,0.56,0.28,,1340
20kms~cloud_131,20.85,10.43,,4140
20kms~cloud_132,0.64,0.32,,1340
20kms~cloud_133,0.42,0.21,54.2,1660
20kms~cloud_134,0.64,0.32,,1500
20kms~cloud_135,1.80,0.90,,2140
20kms~cloud_136,1.16,0.58,,2000
20kms~cloud_137,2.08,1.04,538.0,2650
20kms~cloud_138,2.98,1.49,,2920
20kms~cloud_139,0.90,0.45,,1630
20kms~cloud_140,1.35,0.68,,1910
20kms~cloud_141,3.31,1.66,,1140
20kms~cloud_142,0.37,0.18,,1040
20kms~cloud_143,4.42,2.21,,2450
20kms~cloud_144,6.76,3.38,,2350
20kms~cloud_145,1.51,0.76,,2000
20kms~cloud_146,4.54,2.27,,1800
20kms~cloud_147,0.80,0.40,,1220
20kms~cloud_148,4.20,2.10,,2540
20kms~cloud_149,1.33,0.67,,1950
20kms~cloud_150,1.81,0.91,,1530
20kms~cloud_151,7.30,3.65,,3150
20kms~cloud_152,35.14,17.57,,4600
20kms~cloud_153,1.87,0.94,,2160
20kms~cloud_154,0.92,0.46,90.3,2840
20kms~cloud_155,1.71,0.85,68.7,3520
20kms~cloud_156,1.16,0.58,,1790
20kms~cloud_157,1.93,0.96,,2500
20kms~cloud_158,0.38,0.19,,1090
20kms~cloud_159,0.16,0.08,134.9,1710
20kms~cloud_160,0.59,0.29,,1420
20kms~cloud_161,0.49,0.24,,1290
20kms~cloud_162,1.73,0.86,,2150
20kms~cloud_163,0.33,0.17,81.4,1670
20kms~cloud_164,8.23,4.12,,3530
20kms~cloud_165,1.35,0.68,,1690
20kms~cloud_166,0.61,0.30,,1110
20kms~cloud_167,0.31,0.15,,1030
20kms~cloud_168,1.60,0.80,76.0,2630
20kms~cloud_169,0.80,0.40,,1650
20kms~cloud_170,56.22,28.11,149.9,5970
20kms~cloud_171,1.49,0.74,,1840
20kms~cloud_172,0.84,0.42,,1250
20kms~cloud_173,0.46,0.23,,1080
20kms~cloud_174,6.02,3.01,,3350
20kms~cloud_175,1.06,0.53,73.5,2620
20kms~cloud_176,0.72,0.36,,1640
20kms~cloud_177,0.57,0.28,57.9,1610
20kms~cloud_178,2.58,1.29,,2500
20kms~cloud_179,0.76,0.38,,1280
20kms~cloud_180,0.19,0.10,59.6,1440
20kms~cloud_181,2.97,1.49,,2030
20kms~cloud_182,0.33,0.17,,1040
20kms~cloud_183,0.96,0.48,,1680
20kms~cloud_184,0.61,0.30,,1180
20kms~cloud_185,0.28,0.14,43.7,1590
20kms~cloud_186,0.66,0.33,,1410
20kms~cloud_187,2.04,1.02,,1360
20kms~cloud_188,0.73,0.36,,1420
20kms~cloud_189,0.21,0.10,176.1,1430
20kms~cloud_190,0.73,0.36,,1480
20kms~cloud_191,0.89,0.45,,1660
20kms~cloud_192,0.82,0.41,,1590
20kms~cloud_193,6.57,3.29,,1210
20kms~cloud_194,11.49,5.75,127.3,5170
20kms~cloud_195,10.37,5.18,,1430
20kms~cloud_196,1.76,0.88,,1250
20kms~cloud_197,0.90,0.45,92.8,3760
20kms~cloud_198,0.36,0.18,,1110
20kms~cloud_199,3.42,1.71,,3190
20kms~cloud_200,10.43,5.21,,1110
20kms~cloud_201,1.25,0.62,,1080
20kms~cloud_202,19.81,9.90,,1930
20kms~cloud_203,0.79,0.40,509.2,1620
20kms~cloud_204,0.97,0.48,,1560
20kms~cloud_205,4.36,2.18,,2240
20kms~cloud_206,14.54,7.27,,2070
20kms~cloud_207,2.15,1.07,,1740
20kms~cloud_208,5.78,2.89,,1590
20kms~cloud_209,0.98,0.49,74.6,1620
20kms~cloud_210,6.06,3.03,,2090
